station_id,latitude,longitude,district_id
1001,40.090679,116.173553,101
1002,40.00395,116.20531,101
1003,39.914409,116.184239,102
1004,39.815128,116.17115,103
1005,39.742767,116.136045,104
1006,39.987313,116.287451,101
1007,39.982053,116.3974,105
1008,39.954047,116.348991,101
1009,39.878193,116.351974,106
1010,39.876184,116.394009,103
1011,39.855958,116.36781,103
1012,39.937119,116.460742,105
1013,39.929287,116.416883,107
1014,39.939554,116.483746,105
1015,39.929302,116.351029,106
1016,39.86347,116.279082,103
1017,39.718147,116.406155,108
1018,39.794491,116.506319,108
1019,39.885241,116.664162,109
1020,39.886491,116.407355,107
1021,39.899135,116.395383,107
1022,39.920993,116.443448,105
1023,40.127,116.655,110
1024,40.216999,116.23,111
1025,39.936999,116.105999,112
1026,40.143,117.099999,113
1027,40.328,116.628,114
