station_id,latitude,longitude,district_id
1001,40.090679,116.173553,101
1002,40.00395,116.20531,101
1003,39.914409,116.184239,102
1004,39.815128,116.17115,103
1005,39.742767,116.136045,104
1006,39.987313,116.287451,101
1007,39.982053,116.3974,105
1008,39.954047,116.348991,101
1009,39.878193,116.351974,106
1010,39.876184,116.394009,103
1011,39.855958,116.36781,103
1012,39.937119,116.460742,105
1013,39.929287,116.416883,107
1014,39.939554,116.483746,105
1015,39.929302,116.351029,106
1016,39.86347,116.279082,103
1017,39.718147,116.406155,108
1018,39.794491,116.506319,108
1019,39.885241,116.664162,109
1020,39.886491,116.407355,107
1021,39.899135,116.395383,107
1022,39.920993,116.443448,105
1023,40.127,116.655,110
1024,40.216999,116.23,111
1025,39.936999,116.105999,112
1026,40.143,117.099999,113
1027,40.328,116.628,114
6001,39.226534,117.185582,601
6002,39.078575,117.090225,602
6003,39.097003,117.151144,603
6004,39.110683,117.244978,604
6005,39.119988,117.188737,605
6006,39.134453,117.268666,604
6007,39.138249,117.003922,602
6008,39.165838,117.144256,606
6010,39.092699,117.201676,607
6011,39.172125,117.189702,608
6012,38.984566,117.373981,609
6013,39.151429,117.374754,610
6014,39.087569,117.314156,610
6015,40.047066,117.445221,611
6016,39.718542,117.307892,612
6017,39.521521,117.349777,612
6019,39.247742,117.791805,613
6020,39.163609,117.765026,609
6021,38.845188,116.779604,614
6022,39.035119,117.708035,609
6023,39.021217,117.650914,615
6024,38.84198,117.456722,609
6025,38.943255,116.914829,614
6026,38.920287,117.156657,614
6027,39.375577,117.044563,615
6028,39.097,117.151,603
6040,39.384054,117.04264,616
